iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Lab6 — Полное покрытие API","GET /api/v1/users — все пользователи","GET","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/users","OK","200","612","1127","Status 200, Возвращает массив пользователей",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","POST /api/v1/users — создать пользователя","POST","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/users","Created","201","54","77","Status 201, Сохраняем userId",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","GET /api/v1/users/{id} — получить пользователя по ID","GET","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/users/6fd77ea3-f602-4d04-aaa3-d29557a9f297","OK","200","17","77","Status 200",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","PUT /api/v1/users/{id} — обновить пользователя","PUT","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/users/6fd77ea3-f602-4d04-aaa3-d29557a9f297","OK","200","40","85","Status 200",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","DELETE /api/v1/users/{id} — удалить пользователя","DELETE","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/users/6fd77ea3-f602-4d04-aaa3-d29557a9f297","No Content","204","12","0","Status 204",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","POST /api/v1/users — пересоздать пользователя после удаления","POST","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/users","Created","201","9","77","Status 201, Сохраняем новый userId",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","GET /api/v1/functions — все функции","GET","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/functions","OK","200","523","4066","Status 200, Возвращает массив функций",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","POST /api/v1/functions — создать функцию","POST","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/functions","Created","201","10","158","Status 201, Сохраняем functionId",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","POST /api/v1/points/function/{{functionId}} — создать точку","POST","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/points/function/637d8bb0-9872-4155-a639-0179c472e2da","Created","201","362","119","Status 201, Сохраняем pointId",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","GET /api/v1/points/{id} — получить точку по ID","GET","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/points/ccba0fbf-a619-4bb8-8bec-432db11b546f","OK","200","14","119","Status 200",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","PUT /api/v1/points/{id} — обновить точку","PUT","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/points/ccba0fbf-a619-4bb8-8bec-432db11b546f","OK","200","15","119","Status 200",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","DELETE /api/v1/points/{id} — удалить точку","DELETE","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/points/ccba0fbf-a619-4bb8-8bec-432db11b546f","No Content","204","8","0","Status 204",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","GET /api/v1/points/function/{functionId} — все точки функции","GET","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/points/function/637d8bb0-9872-4155-a639-0179c472e2da","OK","200","7","2","Status 200",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","DELETE /api/v1/points/function/{functionId} — удалить все точки функции","DELETE","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/v1/points/function/637d8bb0-9872-4155-a639-0179c472e2da","No Content","204","6","0","Status 204",,,"1","1","0","0"
"1","Lab6 — Полное покрытие API","POST /api/search/users","POST","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/search/users","OK","200","409","1595","Status 200, Возвращает массив пользователей",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","POST /api/search/functions","POST","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/search/functions","OK","200","64","4225","Status 200, Возвращает массив функций",,,"2","2","0","0"
"1","Lab6 — Полное покрытие API","POST /api/search/functions/{functionId}/points","POST","http://localhost:8080/LaboratoryWorkOOP-1.0-SNAPSHOT/api/search/functions/637d8bb0-9872-4155-a639-0179c472e2da/points","OK","200","5","71","Status 200",,,"1","1","0","0"